id,name,ability,edition,firstNight,firstNightReminder,otherNight,otherNightReminder,reminders,remindersGlobal,setup,team
alchemist,Alquimista,Tienes la habilidad de un Minion no presente en la partida.,,,Muestra al Alquimista el token de un Minion no presente en el juego.,,,,Es el Alquimista,,townsfolk
amnesiac,Amnésico,"No sabes cuál es tu habilidad. Cada día, intenta adivinarla en privado: sabrás qué tan cerca estás de adivinarla.",,,Decide la habilidad del Amnésico. Si la habilidad requiere que se despierte esta noche: despiértale para que la use.,,Si la habilidad del Amnésico requiere que se despierte esta noche: despiértale para que la use.,?,,,townsfolk
artist,Artista,"Una vez por juego, durante el día, hazle una pregunta de sí o no al Narrador en privado.",snv,,,,,Sin Habilidad,,,townsfolk
atheist,Ateo,"El Narrador puede romper las reglas del juego y, si es ejecutado, gana el equipo bueno, aún si estás muerto. [No hay personajes del equipo malo]",,,,,,,,TRUE,townsfolk
balloonist,Aeronauta,"Cada noche, aprendes un jugador de cada categoría de personajes hasta que no haya más categorías. [+1 Forastero]",,,Elige una categoría de personajes. Señala a un jugador que tenga un personaje de esa cateogría. Coloca el recordatorio de Visto del Aeronauta junto a ese personaje.,,"Elige una categorí­a de personajes que aún no tenga el recordatorio de Visto del Aeroanuta junto a un personaje. Señala a un jugador cuyo personaje está en esa categoría, si lo hay. Coloca el recordatorio de Visto del Aeronauta junto a ese personaje.","Aldeano Visto, Forastero Visto, Minion Visto, Demonio Visto, Viajero Visto",,TRUE,townsfolk
bountyhunter,Cazarrecompensas,"Comienzas sabiendo que un jugador es del equipo malo. Si el jugador que conoces muere, esta noche conoces a otro jugador del equipo malo. [Un Aldeano es malo]",,,Despierta al Aldeano del equipo malo y muéstrale la tarjeta de 'Eres' y el pulgar hacia abajo.,,"Si el Aldeano conocido por el Cazarrecompensas está muerto, señala a otro jugador del equipo malo.",Conocido,,,townsfolk
cannibal,Caníbal,"Tienes la habilidad del que más recientemente murió por ejecución. Si dicha persona es del equipo malo, estás envenenado hasta que alguien del equipo bueno muera por ejecución.",,,,,,"Envenenado, Murió Hoy",,,townsfolk
chambermaid,Camarera,"Cada noche, escoge a dos jugadores vivos (no tú mismo): aprendes cuántos despertaron esta noche gracias a su habilidad.",bmr,50,"La Camarera señala a dos jugadores. Muéstrale la señal numérica (0, 1, 2, ...) indicando cuántos de esos jugadores se despertaron esta noche gracias a su habilidad.",70,"La Camarera señala a dos jugadores. Muéstrale la señal numérica (0, 1, 2, ...) indicando cuántos de esos jugadores se despertaron esta noche gracias a su habilidad.",,,,townsfolk
chef,Chef,Comienzas sabiendo cuántos pares de jugadores del equipo malo están sentados juntos.,tb,35,"Muéstrale la señal numérica (0, 1, 2, ...) indicando cuántos pares de jugadores del equipo malo están sentados juntos.",0,,,,,townsfolk
choirboy,Corista,"Si el Demonio mata al Rey, aprendes qué jugador es el Demonio. [+ el Rey]",,,,,"Si el Demonio mata al Rey, despierta al Corista y señala al Demonio.",,,TRUE,townsfolk
clockmaker,Relojero,Comienzas sabiendo a cuántos pasos del Demonio está su Minion más cercano.,snv,40,"Muéstrale la señal numérica (0, 1, 2, ...) indicando a cuántos pasos del Demonio está su Minion más cercano.",0,,,,,townsfolk
courtier,Cortesano,"Una vez por juego, en la noche, escoge a un personaje: estará borracho por 3 noches y 3 dí­as.",bmr,19,"El Cortesano ya sea indica un 'no' con la cabeza, o señala a un personaje en la hoja de personajes. Si el Cortesano usó su habilidad: Si el personaje está en juego, ese jugador está borracho.",10,"Reduce el número de días que faltan para el jugador que está borracho. Si el Cortesano no ha usado su habilidad: El Cortesano ya sea indica un 'no' con la cabeza, o señala a un personaje en la hoja de personajes. Si el Cortesano usó su habilidad: Si el personaje está en juego, ese jugador está borracho.","Borracho 1, Borracho 2, Borracho 3, Sin Habilidad",,,townsfolk
washerwoman,Lavandera,Comienzas sabiendo que 1 de 2 jugadores es un Aldeano en particular.,tb,32,"Muestra el token de personaje de un Aldeano en juego. Señala a dos jugadores, uno de ellos es ese personaje.",0,,"Aldeano, Equivocado",,,townsfolk
baron,Barón,Hay Forasteros extra en el juego. [+2 Forasteros],tb,0,,0,,,,TRUE,minion
beggar,Limosnero,"Tienes que usar un token de votación para votar. Jugadores muertos pueden decidir darte el suyo. De ser así, aprendes de qué equipo es esa persona. Estas sobrio y saludable.",tb,0,,0,,,,,traveler
bureaucrat,Burócrata,"Cada noche, escoge a un jugador (no tú mismo): su voto cuenta como 3 votos mañana.",tb,1,El Burócrata señala a un jugador. Coloca el token de recordatorio '3 votos' del Burócrata junto al token de personaje de la persona escogida.,1,El Burócrata señala a un jugador. Coloca el token de recordatorio '3 votos' del Burócrata junto al token de personaje de la persona escogida.,3 Votos,,,traveler
butler,Mayordomo,"Cada noche, escoge a un jugador (no tú mismo): mañana, sólo puedes votar si esa persona está votando.",tb,38,El Mayordomo señala a un jugador. Marca a ese jugador como 'Maestro'.,55,El Mayordomo señala a un jugador. Marca a ese jugador como 'Maestro'.,Maestro,,,outsider
drunk,Borracho,"No sabes que eres el Borracho. Piensas que eres un Aldeano en particular, pero no lo eres.",tb,0,,0,,,Es el Borracho,TRUE,outsider
